F277W_best_model,F356W_best_model,F444W_best_model,REDSHIFT,SURVEY,SURVEY_ID,best_F277W_RFF,best_F277W_n_mean,best_F277W_n_sd,best_F277W_r_eff_mean,best_F277W_r_eff_sd,best_F356W_RFF,best_F356W_n_mean,best_F356W_n_sd,best_F356W_r_eff_mean,best_F356W_r_eff_sd,best_F444W_RFF,best_F444W_n_mean,best_F444W_n_sd,best_F444W_r_eff_mean,best_F444W_r_eff_sd
single,single,single,3.650937024797675,CEERSP3,9026,-0.05395883877602951,3.759,0.09,2.5140000000000002,0.026000000000000002,-0.0834247411347656,4.396,0.11599999999999999,2.577,0.03,-0.07120821884356009,2.8160000000000003,0.07,1.996,0.011000000000000001
single,single,,3.436529812944877,CEERSP2,9980,-0.02916362791194524,2.5069999999999997,0.078,2.3169999999999997,0.023,-0.026162546919832445,2.89,0.145,1.689,0.02,,,,,
PS,PS,PS,3.5386741628548073,PRIMER-UDS,113148,-0.13909213456940483,2.2430000000000003,0.095,10.225,0.203,-0.15259831588341471,1.3559999999999999,0.047,12.355,0.19899999999999998,-0.14794076884695495,1.617,0.09300000000000001,9.478,0.23
single,single,single,3.985840752501347,PRIMER-UDS,126454,0.002965514215860297,1.204,0.054000000000000006,2.799,0.032,-0.012630921413964803,1.215,0.066,2.8680000000000003,0.036000000000000004,-0.05103331082682547,1.82,0.201,2.9130000000000003,0.086
,,,1.6759778213447447,JADES-DR3-GN-Medium,21646,,,,,,,,,,,,,,,
single,single,single,2.980748757646925,JADES-DR3-GN-Medium,9555,0.08533738194596431,0.6509999999999999,0.001,5.381,0.015,0.024407513473347065,0.6509999999999999,0.001,5.5520000000000005,0.018000000000000002,0.023207743270192656,0.6509999999999999,0.001,5.261,0.03
single,PS,PS,2.2608963589622113,JADES-DR3-GN-Medium,15484,0.04950034688965828,0.797,0.013000000000000001,0.501,0.001,0.02381535676032932,0.715,0.063,0.503,0.003,0.03401798380689017,0.7809999999999999,0.024,0.505,0.005
PS,single,single,2.2449602675277593,JADES-DR3-GN-Medium,942,-0.07585798285907389,1.0390000000000001,0.019,6.417999999999999,0.038,-0.06440219126743338,3.635,0.045,6.084,0.075,-0.08660731419931822,3.778,0.057999999999999996,5.568,0.083
PS,PS,PS,3.6619520644775783,JADES-DR3-GN-Medium,12216,-0.0996836887863603,0.769,0.025,5.11,0.057,-0.12406997923827903,0.72,0.028999999999999998,5.825,0.094,-0.13138840438690352,0.7040000000000001,0.034,5.044,0.08800000000000001
single,single,single,3.8716652315762303,JADES-DR3-GN-Medium,16972,0.042520103016001426,0.655,0.005,3.199,0.033,0.009652306117214347,0.6579999999999999,0.006999999999999999,3.134,0.035,-0.07474073003805627,0.7,0.044000000000000004,3.3310000000000004,0.115
single,single,single,3.992495757727255,JADES-DR3-GN-Parallel,20197,0.025772802972234575,0.6509999999999999,0.001,4.765,0.017,0.0048485456653516844,0.6509999999999999,0.001,4.563,0.017,-0.010183044343382281,0.652,0.002,4.337,0.016
single,single,single,5.226212302866317,JADES-DR3-GN-Deep,1547,0.1015228902033577,1.128,0.025,4.4,0.047,0.12106812166114306,1.361,0.048,5.231,0.087,0.012514916899161345,1.214,0.051,5.215,0.096
single,PS,PS,5.219991311024438,JADES-DR3-GN-Deep,11269,0.011184845215107181,7.932,0.071,1.2229999999999999,0.032,-0.004338155381947822,0.741,0.077,7.697,0.5720000000000001,-0.003758262465115913,0.789,0.125,5.507999999999999,0.389
single,single,single,6.760155606346621,JADES-DR3-GN-Medium,16900,-0.11156248693361259,0.6559999999999999,0.006,5.562,0.07400000000000001,-0.0551619266657484,0.665,0.013000000000000001,4.544,0.054000000000000006,-0.0683656396227685,0.659,0.009000000000000001,4.856,0.08199999999999999
single,single,single,5.0006766478364995,CEERSP9,4119,-0.02594694324800893,1.4409999999999998,0.046,4.0169999999999995,0.048,-0.042256933472292035,1.7719999999999998,0.047,4.868,0.063,-0.052608579932153954,1.768,0.047,4.832,0.063
single,single,PS,3.862266741747214,CEERSP5,5357,-0.06485885010881666,2.028,0.023,3.863,0.016,-0.08929384681434313,1.659,0.016,4.257,0.013999999999999999,-0.1037588388163299,1.141,0.027999999999999997,4.918,0.044000000000000004
single,single,single,2.2972936813765927,CEERSP6,6944,-0.14804111216031704,1.043,0.011000000000000001,5.48,0.02,-0.10016254627738912,1.401,0.013000000000000001,4.416,0.013000000000000001,-0.06598543587104097,1.625,0.018000000000000002,3.69,0.013000000000000001
single,single,single,2.898023906592168,CEERSP6,3514,-0.1690969780620879,1.9380000000000002,0.019,6.742000000000001,0.053,-0.136272206139225,1.726,0.013999999999999999,5.7410000000000005,0.027999999999999997,-0.09213315685019811,1.429,0.01,4.779,0.013000000000000001
PS,single,single,2.945602473811857,CEERSP5,6171,-0.14961035079616503,0.664,0.012,6.685,0.066,-0.17461871049117417,0.769,0.012,6.943,0.066,-0.1697299421856192,0.9009999999999999,0.012,5.905,0.051
single,single,,2.746926747083897,CEERSP2,11723,0.07818514955280075,0.975,0.217,0.555,0.037000000000000005,-0.0027788504008229927,0.851,0.138,0.53,0.024,,,,,
single,single,single,3.7737682126447636,CEERSP10,3723,-0.18672884083707225,1.022,0.02,7.155,0.071,-0.22269848061047726,0.8290000000000001,0.013999999999999999,6.997999999999999,0.064,-0.2653515109081441,0.861,0.018000000000000002,7.355,0.09
single,PS,single,4.64819117795008,JADES-DR3-GS-East,39590,0.018625401282043052,2.67,0.08900000000000001,0.8440000000000001,0.01,0.0066321203960325315,1.807,0.327,2.168,0.278,-0.02461478994757438,0.9359999999999999,0.23600000000000002,1.328,0.057999999999999996
single,single,single,4.548547705161769,JADES-DR3-GS-East,47215,0.04246440283033913,1.464,0.024,4.925,0.043,-0.016686884996569906,1.3219999999999998,0.034,4.879,0.053,0.003651387562433347,1.357,0.077,4.375,0.095
single,single,single,5.026716850859811,JADES-DR3-GS-East,39625,0.05853236886519655,0.65,0.0,4.888999999999999,0.005,0.023077211937653483,0.65,0.0,4.967,0.006999999999999999,-0.008194822598473032,0.65,0.0,4.985,0.009000000000000001
single,single,single,1.7175622037167906,CEERSP6,6730,-0.08629730155698426,5.244,0.051,4.622,0.051,-0.05414471459050618,5.4110000000000005,0.046,3.2089999999999996,0.023,-0.03671462698502841,6.129,0.075,2.411,0.019
single,single,single,2.3141502011950577,JADES-DR3-GS-East,43857,-0.06295124363882426,0.65,0.0,6.332999999999999,0.003,-0.05850135867748804,0.65,0.0,5.718999999999999,0.005,-0.12735394627888713,0.65,0.0,6.256,0.004
PS,PS,PS,2.572985483113055,JADES-DR3-GS-East,46858,-0.11014566499376148,1.7069999999999999,0.023,11.529000000000002,0.161,-0.10404037960021346,1.4240000000000002,0.02,9.103,0.079,-0.11398386932496554,1.4,0.018000000000000002,9.783,0.091
PS,single,single,3.188976178928402,JADES-DR3-GS-East,19645,0.0010868274034755725,0.996,0.05,6.7829999999999995,0.111,0.0012945923437706983,4.5489999999999995,0.043,0.501,0.001,-0.01380056412433612,3.54,0.043,0.551,0.005
single,single,single,2.676771583651009,JADES-DR3-GS-East,22373,0.05849506168663291,1.81,0.091,2.218,0.033,-0.00361338291141509,1.4369999999999998,0.091,3.035,0.067,-1.1255184006039806e-05,1.011,0.105,2.6439999999999997,0.06
single,single,single,4.9443163098060685,JADES-DR3-GS-East,37536,0.12166038771445727,2.148,0.033,4.996,0.04,0.10105893323922806,3.385,0.09,4.476,0.078,0.07183113815741628,4.526,0.179,3.6260000000000003,0.078
single,single,single,3.3243799544867922,JADES-DR3-GS-East,33832,-0.040909033552872294,0.932,0.006999999999999999,4.949,0.01,-0.03862018962237458,0.8590000000000001,0.011000000000000001,4.985,0.018000000000000002,-0.05669818265556981,0.986,0.012,4.647,0.015
single,single,single,4.779990242347004,JADES-DR3-GS-North,1646,0.015209271360519258,7.763,0.273,0.5920000000000001,0.026000000000000002,-0.010335018697380223,2.6689999999999996,0.396,0.991,0.048,-0.010837036092539378,3.252,1.11,1.006,0.102
single,PS,,3.758354537320489,CEERSP2,4573,-0.009257536318790439,1.72,0.134,2.149,0.049,-0.016150275651155687,0.721,0.054000000000000006,2.859,0.11599999999999999,,,,,
